OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
1,S/I-TCTC/24,BHCB,130,1109.25719554,38233.43359375,1201.19308373202
2,S/I-TCTC/24,BHCB,140,442.87014633,13168.86328125,479.878730275084
3,S/I-TCTC/24,BHCB,55,407.856179807,6813.49609375,442.505808539123
4,S/I-TCTC/24,BHCB,75,635.446624299,21321.84375,689.21938830443
5,S/I-TCTC/24,BHCB,70,501.416251287,11763.3515625,542.916887401749
6,S/I-TCTC/24,BHCB,135,450.739519675,11697.88671875,488.752941809833
7,S/I-TCTC/24,BHCS,1,137.7060358,1187.43359375,149.007163626225
8,S/I-TCTC/24,BHCS,2,60.510835961,270.83203125,65.5114042289402
9,S/I-TCTC/24,BHCS,2,293.65150673,6632.30078125,318.136474843438
10,S/I-TCTC/24,BHCS,3,162.750015493,1122.23828125,176.370463160737
11,S/I-TCTC/24,BHCB,130,793.08925212,46885.974609375,859.993506993148
12,S/I-TCTC/24,BHCB,70,511.338750178,13774.666015625,554.655969246027
13,S/I-TCTC/24,BHCB,100,381.943712175,7738.935546875,413.929283781352
14,S/I-TCTC/24,BHCS,8,296.110312325,6808.66796875,320.79704929224
15,S/I-TCTC/24,BHCB,45,467.153025024,14646.625,506.107458736268
16,S/I-TCTC/24,BHCB,35,426.256208552,8251.048828125,461.734144411685
17,S/I-TCTC/24,BHCB,185,657.346421342,16889.443359375,711.898015329553
18,S/H8/26,BHCS,1,110.008623326,742.734375,119.108226517852
19,S/H8/26,BHCB,120,223.86599519,3555.90625,242.436281071474
20,S/H8/26,BHCB,120,329.471838208,7065.21875,357.089722132567
21,S/H8/26,BHCB,110,346.626300768,7495.267578125,375.142803557177
22,S/H8/26,BHCS,1,66.4284854356,322.330078125,71.967085615639
23,S/H8/26,BHCS,2,312.047084489,3600.033203125,338.653450639268
24,S/H8/26,BHCS,8,413.139637591,6750.65625,447.981963258557
25,S/H8/26,BHCS,6,98.1991764912,703.56640625,106.358915497265
26,S/H8/26,BHCS,8,372.065818303,6006.033203125,403.282484786702
27,S/H8/26,BHCB,120,424.465580074,11592.833984375,459.483828874204
28,S/H8/26,BHCS,1,190.70145793,2649.314453125,206.497442800189
29,S/H8/26,BHCB,120,156.700063111,1750.79296875,169.82341070415
30,S/H8/26,BHCS,2,368.532756547,4613.28515625,399.870374075301
31,S/H8/26,BHCB,110,247.223508886,3903.796875,267.875624708165
32,S/H8/26,BHCB,100,165.168783284,1434.88671875,179.101641926306
33,S/H8/26,BHCS,8,127.291869447,1119.1484375,137.99111594643
34,S/H8/26,BHCB,110,182.722043307,2447.673828125,197.941014274118
35,S/H8/26,BHCB,15,398.869437496,6785.94140625,432.203606031986
36,S/H8/26,BHCB,14,113.998029687,903.64453125,123.48717856793
37,S/H8/26,BHCS,6,258.03815937,4462.984375,279.690068656475
38,S/H8/26,BHCS,1,466.752359998,10401.953125,506.026925366849
39,S/H8/26,BHCB,120,50.7375736988,158.98046875,54.9402679143109
40,S/H8/26,BHCB,100,157.147113313,1771.603515625,170.287442443132
41,S/H8/26,BHCS,2,153.162579009,1719.890625,165.904121436524
42,S/H8/26,BHCS,12,170.261147657,2084.3515625,184.531429078863
43,S/H8/26,BHCB,27,124.072394688,604.84765625,134.222989799384
44,S/H8/26,BHCB,100,180.207379359,2367.423828125,195.263914512631
45,S/H8/26,BHCB,130,354.308749055,7039.37109375,383.485276816559
46,S/H8/26,BHCB,110,242.684536375,3803.3203125,262.680576671114
47,S/H8/26,BHCS,8,272.983490364,5964.49609375,295.800469051112
48,S/H8/26,BHCB,120,425.657496518,8683.0390625,461.806346447114
49,S/H8/26,BHCS,8,179.278820039,2079.205078125,194.245907328562
50,S/H8/26,BHCS,2,240.321134135,2628.884765625,260.400980300864
51,S/H8/26,BHCB,100,245.393253789,3780.919921875,265.577941407805
52,S/H8/26,BHCB,130,492.953510996,7851.435546875,533.323659526164
53,S/H8/26,BHCS,8,498.961837379,9200.40625,539.94724836035
54,S/H8/26,BHCB,120,340.976091849,6694.619140625,368.9498395874
55,S/H8/26,BHCS,2,130.618436945,1257.59765625,141.491131685249
56,S/H8/26,BHCS,6,129.755988257,1177.861328125,140.650207202849
57,S/H8/26,BHCB,110,479.62920724,9045.41796875,518.694758909436
58,S/H8/26,BHCB,130,448.319207433,7138.818359375,484.93426095618
59,S/H8/26,BHCB,100,183.146085835,2375.24609375,198.327480613812
60,S/H8/26,BHCB,110,348.019598234,6751.859375,376.550743876403
61,S/H8/26,BHCB,180,337.162749796,7696.626953125,365.007969831329
62,S/H8/26,BHCB,100,151.425797916,1346.40625,164.252001269533
63,S/H8/26,BHCB,210,152.817006406,1585.728515625,165.685718099657
64,S/H8/26,BHCS,8,357.856993575,6391.2890625,388.240865843427
65,S/H8/26,BHCB,120,151.051028537,1625.388671875,163.720357544265
66,S/H8/26,BHCS,12,393.160114144,11072.4140625,425.980766585577
67,S/H8/26,BHCB,120,238.345027405,3338.3046875,258.071051649274
68,S/H8/26,BHCB,110,408.83088769,8467.09375,442.754070277851
69,S/H8/26,BHCB,110,467.271357579,14562.53125,506.206733089286
70,S/H8/26,BHCB,130,1693.89660726,32299.373046875,1833.6860271154
71,S/H8/26,BHCB,40,188.389492431,809.25390625,203.653609142179
72,S/H8/26,BHCB,130,538.941743648,16220.591796875,583.981261147877
73,S/H8/26,BHCB,120,279.735693553,5163.474609375,302.751883641843
74,S/H8/26,BHCB,110,181.826084508,1890.80859375,196.833879502946
75,S/H8/26,BHCS,1,74.6099503932,424.337890625,80.8362927329304
76,S/H8/26,BHCB,130,185.123640698,2330.7109375,200.415991413354
77,S/H8/26,BHCB,120,185.320089572,2059.826171875,200.542960289438
78,S/H8/26,BHCB,100,309.51888339,5808.673828125,335.33664151519
79,S/H8/26,BHCS,3,67.204036998,323.51171875,72.83526980083
80,S/H8/26,BHCS,20,428.061090806,10720.759765625,463.825271704968
81,S/H8/26,BHCB,120,267.51199695,3398.96875,289.447590171902
82,S/H8/26,BHCS,2,178.00088395,1955.01953125,192.840385302668
83,S/H8/26,BHCB,65,245.876837008,4052.412109375,266.334449180058
84,S/H8/26,BHCB,100,195.323014479,2776.44140625,211.647044923091
85,S/H8/26,BHCS,1,314.270495724,7182.87109375,340.371296554996
86,S/H8/26,BHCB,110,236.500905237,3485.83984375,256.263003620647
87,S/H8/26,BHCS,8,160.58081387,1986.796875,173.998764682014
88,S/H8/26,BHCB,100,727.197787466,24567.078125,786.710964430109
